municipality_id,name,long,lat,departament_departament_id
1,Guatemala,,101,1
2,Santa Catarina Pinula,,102,1
3,San José Pinula,,103,1
4,San José del Golfo,,104,1
5,Palencia,,105,1
6,Chinautla,,106,1
7,San Pedro Ayampuc,,107,1
8,Mixco,,108,1
9,San Pedro Sacatepéquez,,109,1
10,San Juan Sacatepéquez,,110,1
11,San Raymundo,,111,1
12,Chuarrancho,,112,1
13,Fraijanes,,113,1
14,Amatitlán,,114,1
15,Villa Nueva,,115,1
16,Villa Canales,,116,1
17,Petapa,,117,1
18,Guastatoya,,201,2
19,Morazán,,202,2
20,San Agustín Acasaguastlán,,203,2
21,San Cristóbal Acasaguastlán,,204,2
22,El Jícaro,,205,2
23,Sansare,,206,2
24,Sanarate,,207,2
25,San Antonio la Paz,,208,2
26,Antigua Guatemala,,301,3
27,Jocotenango,,302,3
28,Pastores,,303,3
29,Sumpango,,304,3
30,Santo Domingo Xenacoj,,305,3
31,Santiago Sacatepéquez,,306,3
32,San Bartolomé Milpas Altas,,307,3
33,San Lucas Sacatepéquez,,308,3
34,Santa Lucía Milpas Altas,,309,3
35,Magdalena Milpas Altas,,310,3
36,Santa María de Jesús,,311,3
37,Ciudad Vieja,,312,3
38,San Miguel Dueñas,,313,3
39,Alotenango,,314,3
40,San Antonio Aguas Calientes,,315,3
41,Santa Catarina Barahona,,316,3
42,Chimaltenango,,401,4
43,San José Poaquil,,402,4
44,San Martín Jilotepeque,,403,4
45,Comalapa,,404,4
46,Santa Apolonia,,405,4
47,Tecpán Guatemala,,406,4
48,Patzún,,407,4
49,Pochuta,,408,4
50,Patzicía,,409,4
51,Santa Cruz Balanyá,,410,4
52,Acatenango,,411,4
53,Yepocapa,,412,4
54,San Andrés Itzapa,,413,4
55,Parramos,,414,4
56,Zaragoza,,415,4
57,El Tejar,,416,4
58,Escuintla,,501,5
59,Santa Lucía Cotzumalguapa,,502,5
60,La Democracia,,503,5
61,Siquinalá,,504,5
62,Masagua,,505,5
63,Tiquisate,,506,5
64,La Gomera,,507,5
65,Guanagazapa,,508,5
66,San José,,509,5
67,Iztapa,,510,5
68,Palín,,511,5
69,San Vicente Pacaya,,512,5
70,Nueva Concepción,,513,5
71,Cuilapa,,601,6
72,Barberena,,602,6
73,Santa Rosa de Lima,,603,6
74,Casillas,,604,6
75,San Rafael las Flores,,605,6
76,Oratorio,,606,6
77,San Juan Tecuaco,,607,6
78,Chiquimulilla,,608,6
79,Taxisco,,609,6
80,Santa María Ixhuatán,,610,6
81,Guazacapán,,611,6
82,Santa Cruz Naranjo,,612,6
83,Pueblo Nuevo Viñas,,613,6
84,Nueva Santa Rosa,,614,6
85,Sololá,,701,7
86,San José Chacayá,,702,7
87,Santa María Visitación,,703,7
88,Santa Lucía Utatlán,,704,7
89,Nahualá,,705,7
90,Santa Catarina Ixtahuacán,,706,7
91,Santa Clara la Laguna,,707,7
92,Concepción,,708,7
93,San Andrés Semetabaj,,709,7
94,Panajachel,,710,7
95,Santa Catarina Palopó,,711,7
96,San Antonio Palopó,,712,7
97,San Lucas Tolimán,,713,7
98,Santa Cruz la Laguna,,714,7
99,San Pablo la Laguna,,715,7
100,San Marcos la Laguna,,716,7
101,San Juan la Laguna,,717,7
102,San Pedro la Laguna,,718,7
103,Santiago Atitlán,,719,7
104,Totonicapán,,801,8
105,San Cristóbal Totonicapán,,802,8
106,San Francisco el Alto,,803,8
107,San Andrés Xecul,,804,8
108,Momostenango,,805,8
109,Santa María Chiquimula,,806,8
110,Santa Lucía la Reforma,,807,8
111,San Bartolo,,808,8
112,Quetzaltenango,,901,9
113,Salcajá,,902,9
114,Olintepeque,,903,9
115,San Carlos Sija,,904,9
116,Sibilia,,905,9
117,Cabricán,,906,9
118,Cajolá,,907,9
119,San Miguel Siguilá,,908,9
120,Ostuncalco,,909,9
121,San Mateo,,910,9
122,Concepción Chiquirichapa,,911,9
123,San Martín Sacatepéquez,,912,9
124,Almolonga,,913,9
125,Cantel,,914,9
126,Huitán,,915,9
127,Zunil,,916,9
128,Colomba,,917,9
129,San Francisco la Unión,,918,9
130,El Palmar,,919,9
131,Coatepeque,,920,9
132,Génova,,921,9
133,Flores Costa Cuca,,922,9
134,La Esperanza,,923,9
135,Palestina de los Altos,,924,9
136,Mazatenango,,1001,10
137,Cuyotenango,,1002,10
138,San Francisco Zapotitlán,,1003,10
139,San Bernardino,,1004,10
140,San José el Idolo,,1005,10
141,Santo Domingo Suchitepéquez,,1006,10
142,San Lorenzo,,1007,10
143,Samayac,,1008,10
144,San Pablo Jocopilas,,1009,10
145,San Antonio Suchitepéquez,,1010,10
146,San Miguel Panán,,1011,10
147,San Gabriel,,1012,10
148,Chicacao,,1013,10
149,Patulul,,1014,10
150,Santa Bárbara,,1015,10
151,San Juan Bautista,,1016,10
152,Santo Tomás la Unión,,1017,10
153,Zunilito,,1018,10
154,Pueblo Nuevo,,1019,10
155,Río Bravo,,1020,10
156,San José La Máquina,,1021,10
157,Retalhuleu,,1101,11
158,San Sebastián,,1102,11
159,Santa Cruz Muluá,,1103,11
160,San Martín Zapotitlán,,1104,11
161,San Felipe,,1105,11
162,San Andrés Villa Seca,,1106,11
163,Champerico,,1107,11
164,Nuevo San Carlos,,1108,11
165,El Asintal,,1109,11
166,San Marcos,,1201,12
167,San Pedro Sacatepéquez,,1202,12
168,San Antonio Sacatepéquez,,1203,12
169,Comitancillo,,1204,12
170,San Miguel Ixtahuacán,,1205,12
171,Concepción Tutuapa,,1206,12
172,Tacaná,,1207,12
173,Sibinal,,1208,12
174,Tajumulco,,1209,12
175,Tejutla,,1210,12
